time,mean_mastery,mean_performance,mean_unverified_delegation,mean_trust
57,0.3588161609660914,0.9358816160966091,0.12301005805741004,0.2946991806579766
58,0.35973658165160266,0.9359736581651604,0.12222015107364685,0.29615552958489316
59,0.359710986249671,0.9359710986249672,0.12150858266698297,0.2942383452725804
60,0.3605967807796111,0.9360596780779611,0.12147645750002473,0.29394831536864585
61,0.36132305455933816,0.9361323054559337,0.12488603506401295,0.299763711815224
62,0.3602487637830589,0.936024876378306,0.12224592144967779,0.2967259856573172
63,0.3603316879497602,0.9360331687949762,0.12183211788707993,0.295344967343616
64,0.36064538939957735,0.9360645389399577,0.12160443540695638,0.2957118415614629
65,0.3603678326239515,0.9360367832623953,0.1234709368462453,0.2984764358739908
66,0.3598686084525258,0.9359868608452526,0.12081442749578986,0.29394520081816505
67,0.36092606764175894,0.9360926067641759,0.11824599580668016,0.2913660012268402
68,0.3624388604163282,0.9362438860416328,0.11974186193957025,0.292226426248787
69,0.3635582579952085,0.936355825799521,0.12306533817800457,0.29546189082775043
70,0.3634960516711506,0.9363496051671151,0.11927879465445011,0.291871212477244
71,0.363596114222974,0.9363596114222975,0.11879695721137641,0.2914992607765239
72,0.36424087329233523,0.9364240873292337,0.11724544330303016,0.2906248282676669
73,0.36489545765560766,0.9364895457655608,0.11705278779438953,0.2912735338055215
74,0.3642337824363061,0.9364233782436305,0.11521612777719435,0.2873195724058886
75,0.3650158192604074,0.9365015819260408,0.11933178263030977,0.2920216464209322
76,0.3649260583125416,0.9364926058312544,0.11487842930147435,0.28693608107102336
77,0.3663663230512714,0.9366366323051273,0.11735215057597567,0.2898813399347243
78,0.367317437265468,0.9367317437265469,0.12007116801860135,0.29382393393288786
79,0.36647472814813886,0.9366474728148139,0.11889373582661904,0.2937271720142723
80,0.3654875874664933,0.9365487587466492,0.120913361047956,0.29427998151933193
81,0.36578623940913596,0.9365786239409137,0.11934961999882257,0.29307354718899975
82,0.3664842181533834,0.9366484218153384,0.11914273099446523,0.2913069505625873
