time,K_7.5%,Y_7.5%,K_5%,Y_5%
52,0.7823547706364732,0.9782354770636473,0.8044681200739205,0.980446812007392
53,0.7823547677786796,0.9782354767778679,0.8044681202542393,0.9804468120254239
54,0.7823547656040011,0.9782354765604001,0.8044681203876182,0.9804468120387618
55,0.7823547639491485,0.9782354763949148,0.8044681204862765,0.9804468120486276
56,0.7823547626898648,0.9782354762689864,0.8044681205592524,0.9804468120559252
57,0.782354761731595,0.9782354761731595,0.8044681206132317,0.9804468120613232
58,0.782354761002386,0.9782354761002386,0.8044681206531593,0.9804468120653159
59,0.782354760447484,0.9782354760447484,0.8044681206826931,0.9804468120682693
60,0.7823547600252234,0.9782354760025224,0.8044681207045389,0.9804468120704539
61,0.7823547597038982,0.9782354759703898,0.8044681207206978,0.9804468120720697
62,0.7823547594593813,0.9782354759459382,0.8044681207326503,0.980446812073265
63,0.7823547592733127,0.9782354759273313,0.8044681207414913,0.9804468120741492
64,0.782354759131721,0.9782354759131721,0.804468120748031,0.9804468120748031
65,0.782354759023975,0.9782354759023975,0.8044681207528682,0.9804468120752868
66,0.782354758941984,0.9782354758941985,0.8044681207564462,0.9804468120756447
67,0.7823547588795919,0.9782354758879592,0.8044681207590929,0.9804468120759093
68,0.7823547588321136,0.9782354758832114,0.8044681207610506,0.9804468120761051
69,0.7823547587959844,0.9782354758795985,0.8044681207624986,0.9804468120762498
70,0.7823547587684914,0.9782354758768491,0.8044681207635698,0.980446812076357
71,0.7823547587475702,0.978235475874757,0.804468120764362,0.9804468120764362
72,0.78235475873165,0.978235475873165,0.8044681207649481,0.9804468120764949
73,0.7823547587195352,0.9782354758719535,0.8044681207653815,0.9804468120765382
74,0.7823547587103162,0.9782354758710317,0.8044681207657021,0.9804468120765703
75,0.7823547587033008,0.9782354758703301,0.8044681207659392,0.9804468120765939
76,0.7823547586979624,0.9782354758697962,0.8044681207661146,0.9804468120766114
77,0.7823547586939001,0.97823547586939,0.8044681207662444,0.9804468120766244
78,0.782354758690809,0.9782354758690809,0.8044681207663404,0.9804468120766341
79,0.7823547586884566,0.9782354758688456,0.8044681207664115,0.9804468120766412
80,0.7823547586866665,0.9782354758686667,0.804468120766464,0.9804468120766464
81,0.7823547586853042,0.9782354758685304,0.8044681207665029,0.9804468120766503
82,0.7823547586842677,0.9782354758684267,0.8044681207665315,0.9804468120766532
83,0.782354758683479,0.9782354758683479,0.8044681207665527,0.9804468120766553
84,0.7823547586828788,0.9782354758682879,0.8044681207665685,0.9804468120766568
85,0.7823547586824221,0.9782354758682422,0.8044681207665801,0.9804468120766581
86,0.7823547586820745,0.9782354758682075,0.8044681207665888,0.9804468120766588
87,0.78235475868181,0.978235475868181,0.8044681207665951,0.9804468120766595
88,0.7823547586816088,0.9782354758681608,0.8044681207665998,0.98044681207666
89,0.7823547586814555,0.9782354758681455,0.8044681207666033,0.9804468120766603
90,0.782354758681339,0.9782354758681339,0.8044681207666059,0.9804468120766606
91,0.7823547586812503,0.978235475868125,0.8044681207666078,0.9804468120766607
92,0.7823547586811828,0.9782354758681183,0.8044681207666091,0.980446812076661
93,0.7823547586811314,0.9782354758681131,0.8044681207666102,0.9804468120766611
94,0.7823547586810923,0.9782354758681092,0.804468120766611,0.9804468120766611
95,0.7823547586810625,0.9782354758681062,0.8044681207666116,0.9804468120766612
96,0.7823547586810399,0.978235475868104,0.804468120766612,0.9804468120766612
97,0.7823547586810227,0.9782354758681022,0.8044681207666122,0.9804468120766612
98,0.7823547586810096,0.978235475868101,0.8044681207666124,0.9804468120766613
99,0.7823547586809996,0.9782354758681,0.8044681207666127,0.9804468120766613
100,0.782354758680992,0.9782354758680992,0.8044681207666128,0.9804468120766613
101,0.7823547586809863,0.9782354758680987,0.8044681207666129,0.9804468120766613
102,0.7823547586809819,0.9782354758680982,0.804468120766613,0.9804468120766613
103,0.7823547586809785,0.9782354758680979,0.8044681207666131,0.9804468120766613
104,0.7823547586809759,0.9782354758680976,0.8044681207666131,0.9804468120766613
